Experiment,Reference,Apparatus,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Total
FG1-Cm,Thy2006,1atm_furnace,0.001,0.00001,1173,gl,47.66,2.87,13.74,,15.25,0.25,6.34,10.63,2.45,0.42,0.26,,99.87
FG1-Cm,Thy2006,1atm_furnace,0.001,0.00001,1163,gl - pl,47.69,2.99,13.98,,15.3,0.2,6.14,10.38,2.43,0.44,0.27,,99.82
FG1-Cm,Thy2006,1atm_furnace,0.001,0.00001,1154,gl - pl,47.52,2.96,13.33,,15.41,0.25,5.97,10.44,2.52,0.43,0.32,,99.15
FG1-Cm,Thy2006,1atm_furnace,0.001,0.00001,1144,gl - ol - cp - pl,47.68,3.11,12.94,,15.87,0.23,5.81,10.44,2.37,0.45,0.35,,99.25
FG1-Cm,Thy2006,1atm_furnace,0.001,0.00001,1135,gl - ol - cp - pl,47.59,3.87,12.52,,17.4,0.25,5.4,10.06,2.52,0.56,0.42,,100.59
FG1-Cm,Thy2006,1atm_furnace,0.001,0.00001,1126,gl - ol - cp - pl,46.78,4.14,12.06,,18.07,0.26,5.06,9.87,2.57,0.58,0.42,,99.81
FG1-Cm,Thy2006,1atm_furnace,0.001,0.00001,1117,gl - ol - cp - pl,46.17,4.5,11.79,,18.66,0.28,4.66,9.58,2.48,0.61,0.47,,99.2
FG1-Cm,Thy2006,1atm_furnace,0.001,0.00001,1107,gl - ol - cp - pl,46.97,5.13,11.07,,19.49,0.32,4.37,9.77,2.19,0.63,0.71,,100.65
FG1-Cc,Thy2006,1atm_furnace,0.001,0.00001,1179,gl,49.42,2.87,13.77,,13.45,0.19,6.71,10.94,2.35,0.32,0.28,,100.3
FG1-Cc,Thy2006,1atm_furnace,0.001,0.00001,1161,gl - ol - pl,48.37,3,13.01,,14.03,0.21,6.27,10.52,2.37,0.35,0.28,,98.41
